Setlist_ID,Album,Song,Special_Guest
1,Intro,Intro,FALSE
1,Lover,Miss Americana & the Heartbreak Prince,FALSE
1,Lover,Cruel Summer,FALSE
1,Lover,The Man,FALSE
1,Lover,You Need to Calm Down,FALSE
1,Lover,Lover,FALSE
1,Lover,The Archer,FALSE
1,Fearless,Fearless,FALSE
1,Fearless,You Belong With Me,FALSE
1,Fearless,Love Story,FALSE
1,evermore,tis the damn season,FALSE
1,evermore,willow,FALSE
1,evermore,marjorie,FALSE
1,evermore,champagne problems,FALSE
1,evermore,tolerate it,FALSE
1,reputation,...Ready for It?,FALSE
1,reputation,Delicate,FALSE
1,reputation,Don't Blame Me,FALSE
1,reputation,Look What You Made Me Do,FALSE
1,Speak Now,Enchanted,FALSE
1,Red,Red - Intro,FALSE
1,Red,22,FALSE
1,Red,We Are Never Ever Getting Back Together,FALSE
1,Red,I Knew You Were Trouble,FALSE
1,Red,All Too Well (10 Minute Version),FALSE
1,folklore,seven,FALSE
1,folklore,invisible string,FALSE
1,folklore,betty,FALSE
1,folklore,the last great american dynasty,FALSE
1,folklore,august,FALSE
1,folklore,illicit affairs,FALSE
1,folklore,my tears ricochet,FALSE
1,folklore,cardigan,FALSE
1,1989,Style,FALSE
1,1989,Blank Space,FALSE
1,1989,Shake It Off,FALSE
1,1989,Wildest Dreams,FALSE
1,1989,Bad Blood,FALSE
1,Surprise Acoustic,Unknown,FALSE
1,Midnights,Lavender Haze,FALSE
1,Midnights,Anti-Hero,FALSE
1,Midnights,Midnight Rain,FALSE
1,Midnights,Vigilante Shit,FALSE
1,Midnights,Bejeweled,FALSE
1,Midnights,Mastermind,FALSE
1,Midnights,Karma,FALSE
2,Intro,Intro,FALSE
2,Lover,Miss Americana & the Heartbreak Prince,FALSE
2,Lover,Cruel Summer,FALSE
2,Lover,The Man,FALSE
2,Lover,You Need to Calm Down,FALSE
2,Lover,Lover,FALSE
2,Lover,The Archer,FALSE
2,Fearless,Fearless,FALSE
2,Fearless,You Belong With Me,FALSE
2,Fearless,Love Story,FALSE
2,evermore,tis the damn season,FALSE
2,evermore,willow,FALSE
2,evermore,marjorie,FALSE
2,evermore,champagne problems,FALSE
2,evermore,tolerate it,FALSE
2,reputation,...Ready for It?,FALSE
2,reputation,Delicate,FALSE
2,reputation,Don't Blame Me,FALSE
2,reputation,Look What You Made Me Do,FALSE
2,Speak Now,Enchanted,FALSE
2,Red,Red - Intro,FALSE
2,Red,22,FALSE
2,Red,We Are Never Ever Getting Back Together,FALSE
2,Red,I Knew You Were Trouble,FALSE
2,Red,All Too Well (10 Minute Version),FALSE
2,folklore,seven,FALSE
2,folklore,the 1,FALSE
2,folklore,betty,FALSE
2,folklore,the last great american dynasty,FALSE
2,folklore,august,FALSE
2,folklore,illicit affairs,FALSE
2,folklore,my tears ricochet,FALSE
2,folklore,cardigan,FALSE
2,1989,Style,FALSE
2,1989,Blank Space,FALSE
2,1989,Shake It Off,FALSE
2,1989,Wildest Dreams,FALSE
2,1989,Bad Blood,FALSE
2,Surprise Acoustic,Unknown,FALSE
2,Midnights,Lavender Haze,FALSE
2,Midnights,Anti-Hero,FALSE
2,Midnights,Midnight Rain,FALSE
2,Midnights,Vigilante Shit,FALSE
2,Midnights,Bejeweled,FALSE
2,Midnights,Mastermind,FALSE
2,Midnights,Karma,FALSE
3,Intro,Intro,FALSE
3,Lover,Miss Americana & the Heartbreak Prince,FALSE
3,Lover,Cruel Summer,FALSE
3,Lover,The Man,FALSE
3,Lover,You Need to Calm Down,FALSE
3,Lover,Lover,FALSE
3,Lover,The Archer,FALSE
3,Fearless,Fearless,FALSE
3,Fearless,You Belong With Me,FALSE
3,Fearless,Love Story,FALSE
3,evermore,tis the damn season,FALSE
3,evermore,willow,FALSE
3,evermore,marjorie,FALSE
3,evermore,champagne problems,FALSE
3,evermore,tolerate it,FALSE
3,reputation,...Ready for It?,FALSE
3,reputation,Delicate,FALSE
3,reputation,Don't Blame Me,FALSE
3,reputation,Look What You Made Me Do,FALSE
3,Speak Now,Enchanted,FALSE
3,Speak Now,Long Live,FALSE
3,Red,Red - Intro,FALSE
3,Red,22,FALSE
3,Red,We Are Never Ever Getting Back Together,FALSE
3,Red,I Knew You Were Trouble,FALSE
3,Red,All Too Well (10 Minute Version),FALSE
3,folklore,seven,FALSE
3,folklore,the 1,FALSE
3,folklore,betty,FALSE
3,folklore,the last great american dynasty,FALSE
3,folklore,august,FALSE
3,folklore,illicit affairs,FALSE
3,folklore,my tears ricochet,FALSE
3,folklore,cardigan,FALSE
3,1989,Style,FALSE
3,1989,Blank Space,FALSE
3,1989,Shake It Off,FALSE
3,1989,Wildest Dreams,FALSE
3,1989,Bad Blood,FALSE
3,Surprise Acoustic,Unknown,FALSE
3,Midnights,Lavender Haze,FALSE
3,Midnights,Anti-Hero,FALSE
3,Midnights,Midnight Rain,FALSE
3,Midnights,Vigilante Shit,FALSE
3,Midnights,Bejeweled,FALSE
3,Midnights,Mastermind,FALSE
3,Midnights,Karma,FALSE
4,Intro,Intro,FALSE
4,Lover,Miss Americana & the Heartbreak Prince,FALSE
4,Lover,Cruel Summer,FALSE
4,Lover,The Man,FALSE
4,Lover,You Need to Calm Down,FALSE
4,Lover,Lover,FALSE
4,Fearless,Fearless,FALSE
4,Fearless,You Belong With Me,FALSE
4,Fearless,Love Story,FALSE
4,Red,Red - Intro,FALSE
4,Red,22,FALSE
4,Red,We Are Never Ever Getting Back Together,FALSE
4,Red,I Knew You Were Trouble,FALSE
4,Red,All Too Well (10 Minute Version),FALSE
4,Speak Now,Enchanted,FALSE
4,reputation,...Ready for It?,FALSE
4,reputation,Delicate,FALSE
4,reputation,Don't Blame Me,FALSE
4,reputation,Look What You Made Me Do,FALSE
4,folkmore,cardigan,FALSE
4,folkmore,betty,FALSE
4,evermore,champagne problems,FALSE
4,folkmore,august,FALSE
4,folklore,illicit affairs,FALSE
4,folklore,my tears ricochet,FALSE
4,evermore,marjorie,FALSE
4,evermore,willow,FALSE
4,1989,Style,FALSE
4,1989,Blank Space,FALSE
4,1989,Shake It Off,FALSE
4,1989,Wildest Dreams,FALSE
4,1989,Bad Blood,FALSE
4,The Tortured Poets Department,"But Daddy, I Love Him",FALSE
4,The Tortured Poets Department,So High School,FALSE
4,The Tortured Poets Department,Who's Afraid of Little Old Me,FALSE
4,The Tortured Poets Department,Down Bad,FALSE
4,The Tortured Poets Department,Fortnight,FALSE
4,The Tortured Poets Department,The Smallest Man Who Ever Lived,FALSE
4,The Tortured Poets Department,I Can Do It With A Broken Heart,FALSE
4,Surprise Acoustic,Unknown,FALSE
4,Midnights,Lavender Haze,FALSE
4,Midnights,Anti-Hero,FALSE
4,Midnights,Midnight Rain,FALSE
4,Midnights,Vigilante Shit,FALSE
4,Midnights,Bejeweled,FALSE
4,Midnights,Mastermind,FALSE
4,Midnights,Karma,FALSE
5,Intro,Intro,FALSE
5,Lover,Miss Americana & the Heartbreak Prince,FALSE
5,Lover,Cruel Summer,FALSE
5,Lover,The Man,FALSE
5,Lover,You Need to Calm Down,FALSE
5,Lover,Lover,FALSE
5,Fearless,Fearless,FALSE
5,Fearless,You Belong With Me,FALSE
5,Fearless,Love Story,FALSE
5,Red,Red - Intro,FALSE
5,Red,22,FALSE
5,Red,We Are Never Ever Getting Back Together,FALSE
5,Red,I Knew You Were Trouble,FALSE
5,Red,All Too Well (10 Minute Version),FALSE
5,Speak Now,Enchanted,FALSE
5,reputation,...Ready for It?,FALSE
5,reputation,Delicate,FALSE
5,reputation,Don't Blame Me,FALSE
5,reputation,Look What You Made Me Do,FALSE
5,folkmore,cardigan,FALSE
5,folkmore,betty,FALSE
5,evermore,champagne problems,FALSE
5,folkmore,august,FALSE
5,folklore,illicit affairs,FALSE
5,folklore,my tears ricochet,FALSE
5,evermore,marjorie,FALSE
5,evermore,willow,FALSE
5,1989,Style,FALSE
5,1989,Blank Space,FALSE
5,1989,Shake It Off,FALSE
5,1989,Wildest Dreams,FALSE
5,1989,Bad Blood,FALSE
5,The Tortured Poets Department,"But Daddy, I Love Him",FALSE
5,The Tortured Poets Department,So High School,FALSE
5,The Tortured Poets Department,Florida!!,Florence Welch
5,The Tortured Poets Department,Who's Afraid of Little Old Me,FALSE
5,The Tortured Poets Department,Down Bad,FALSE
5,The Tortured Poets Department,Fortnight,FALSE
5,The Tortured Poets Department,The Smallest Man Who Ever Lived,FALSE
5,The Tortured Poets Department,I Can Do It With A Broken Heart,FALSE
5,Surprise Acoustic,Unknown,FALSE
5,Midnights,Lavender Haze,FALSE
5,Midnights,Anti-Hero,FALSE
5,Midnights,Midnight Rain,FALSE
5,Midnights,Vigilante Shit,FALSE
5,Midnights,Bejeweled,FALSE
5,Midnights,Mastermind,FALSE
5,Midnights,Karma,FALSE
6,Intro,Intro,FALSE
6,Lover,Miss Americana & the Heartbreak Prince,FALSE
6,Lover,Cruel Summer,FALSE
6,Lover,The Man,FALSE
6,Lover,You Need to Calm Down,FALSE
6,Lover,Lover,FALSE
6,Lover,The Archer,FALSE
6,Fearless,Fearless,FALSE
6,Fearless,You Belong With Me,FALSE
6,Fearless,Love Story,FALSE
6,evermore,"no body, no crime",HAIM
6,evermore,willow,FALSE
6,evermore,marjorie,FALSE
6,evermore,champagne problems,FALSE
6,evermore,tolerate it,FALSE
6,reputation,...Ready for It?,FALSE
6,reputation,Delicate,FALSE
6,reputation,Don't Blame Me,FALSE
6,reputation,Look What You Made Me Do,FALSE
6,Speak Now,Enchanted,FALSE
6,Red,Red - Intro,FALSE
6,Red,22,FALSE
6,Red,We Are Never Ever Getting Back Together,FALSE
6,Red,I Knew You Were Trouble,FALSE
6,Red,All Too Well (10 Minute Version),FALSE
6,folklore,seven,FALSE
6,folklore,the 1,FALSE
6,folklore,betty,FALSE
6,folklore,the last great american dynasty,FALSE
6,folklore,august,FALSE
6,folklore,illicit affairs,FALSE
6,folklore,my tears ricochet,FALSE
